,address,description,detail,lat,lng,name,rating,total_review
0,"59th to 110th Street, Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022","For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!    ",Recommended length of visit: More than 3 hours   Fee: No,40.783005,-73.96536,Central Park,4.5,86871
1,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required.Open Daily.    ",Recommended length of visit: 1-2 hours   Fee: No,40.71151,-74.01332,The National 9/11 Memorial & Museum,4.5,57149
2,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.    ",Recommended length of visit: 2-3 hours   Fee: Yes,40.77943,-73.96324,The Metropolitan Museum of Art,5,38595
3,"30 Rockefeller Center, New York City, NY","Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky! Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.    ",Fee: Yes,40.758884,-73.979385,Top of the Rock Observation Deck,4.5,54110
4,"New York City, NY",-999,-999,40.74833,-73.98568,Manhattan Skyline,5,15397
5,"New York City, NY 10014","The High Line is an elevated railway transformed into a public park on Manhattan's West Side. The park features lush horticulture, artworks, seasonal food vendors, community programming, and unique views of the Hudson River and New York City skyline. The High Line runs between Gansevoort Street to West 34th Street, between 10th and 12th Avenues.Friends of the High Line raises 98% of the High Line‰Ûªs annual budget. Owned by the City of New York, the High Line is a public park maintained, operated, and programmed by Friends of the High Line, in partnership with the New York City Department of Parks & Recreation.    ",Recommended length of visit: 2-3 hours   Fee: No,40.739437,-74.0083,The High Line,4.5,39757
6,"New York City, NY",Description: The most famous theater district in the world.,-999,40.75797,-73.985535,Broadway,4.5,21593
7,"89 E 42nd Street, New York City, NY 10017-5503","Grand Central Terminal is the most extraordinary public space in New York City. Opened to the public in 1913, this historic train terminal is a world-famous landmark in Midtown. Its rich history is a story of immense wealth and great engineering. Grand Central is one of the busiest train stations in the world, with approximately 750,000 visitors every day. It is the home of Metro-North Railroad, a subway station, iconic restaurants, shops, and the world's most alluring Apple Store. Some of the highlights to see along your tour of Grand Central include the opal-faced clock, valued at $20 million, above the Information Booth, the Largest Tiffany Glass Clock in the World below the 48-foot, 1500-ton Transportation statue overlooking 42nd Street at Park Avenue, and the mystifying acoustics of the Whispering Gallery in front of the Oyster Bar and Restaurant. Audio and guided tours are available for those with a passion for history. More information regarding tours and ways to plan your visit can be found on the Grand Central Terminal website.    ",Recommended length of visit: 1-2 hours,40.752728,-73.97723,Grand Central Terminal,4.5,26290
8,"350 Fifth Avenue, Between 33rd and 34th Streets, New York City, NY 10118-0110","The world-famous Empire State Building offers unobstructed panoramic views of New York City and beyond from 8 a.m. until 2 a.m. daily. Our 86th and 102nd floor Observation Decks offer the two highest vantage points in New York City. Soaring 1,454 feet above Midtown Manhattan from base to antenna, the Empire State Building is the World's Most Famous Office Building. Named America's favorite building in a poll conducted by the American Institute of Architects, the Empire State Building is one of New York City's top tourist destinations. On a clear day, you can see up to five states from our Observation Decks - New York, New Jersey, Pennsylvania, Connecticut and Massachusetts. Guests can enjoy our outdoor viewing area on our open-air 86th floor Observatory, or our indoor climate-controlled viewing areas on the 86th and 102nd floors. We recently launched our new Multimedia Experience as well, which guides visitors through the extraordinary exhibits and breathtaking views with additional depth on the building's history in eight languages - including English, Spanish, French, Italian, Mandarin, Portuguese, Japanese and Korean. The Empire State Building aims to provide entertainment for guests of all ages. Bringing children? Have their picture taken with King Kong himself on our 80th floor from Thursdays through Mondays (12 p.m. until 9 p.m.). Celebrating a first date or an anniversary? Enjoy romantic tunes from our saxophone player from 9 p.m. until midnight every Thursday through Saturday night. Tickets can be purchased through our website. Our celebrated tower lights are often illuminated to commemorate holidays, events and special causes. In the Fall of 2012, we upgraded our tower lighting system from floodlights to one-of-a-kind LED tower lights. The state-of-the-art system allows customized lighting capabilities from a palette of over 16 million colors! To watch some of our recent light shows, visit our YouTube page. Reigning as the world's tallest building from 1931 to 1970, the Empire State Building is known for its distinct Art Deco style. Construction of the renowned icon only took one year and 45 days, and logged more than 7 million man hours. This is the fastest construction to date for a project of its scale. Additionally, from classics like An Affair to Remember and Sleepless in Seattle to recent hits such as Oblivion and Elf, our place in pop culture has been solidified since our early days. In fact, over 200 movies and TV shows have featured the Empire State Building in them!    ",Recommended length of visit: 1-2 hours   Fee: Yes,40.748135,-73.9848,Empire State Building,4.5,48946
9,"Liberty Island, New York City, NY 10004","The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.68976,-74.045135,Statue of Liberty,4.5,24861
