,Cleanliness,Comfort,Facilities,Free Wifi,Location,Staff,Value for money,address,avgscore,name,price,total_review,lat,lng
0,8.4,8.3,8.1,6.6,8.4,8.2,7.6,"104-04 Ditmars Boulevard, Queens, NY 11369, United States of America",8.2,LaGuardia Plaza Hotel,4,"1,529",40.7671266,-73.8673029
1,8.8,8.3,8.1,8.8,7.0,8.0,7.5,"112-26 Roosevelt Ave, Queens, NY 11368, United States of America",7.9,Best Western Plus LaGuardia Airport Hotel,3,701,40.75201089999999,-73.8536227
2,8.3,8.2,7.9,7.9,7.7,8.5,7.5,"39-16 College Point Boulevard, Queens, NY 11354, United States of America",8.0,The Parc Hotel,4,980,40.7584721,-73.83470849999999
3,8.0,7.9,7.5,7.9,7.9,8.0,6.9,"138-10 135th Avenue, Queens, NY 11436, United States of America",7.7,Crowne Plaza JFK Airport,5,"1,443",40.6676621,-73.7994425
4,9.2,8.8,8.2,9.1,8.1,8.8,8.0,"38-28 27th Street, Queens, NY 11101, United States of America",8.5,Boro Hotel,5,863,40.7547005,-73.93570319999999
5,7.3,7.2,6.8,8.2,6.7,7.2,7.2,"38-59 12th Street, Queens, NY 11101, United States of America",7.1,Howard Johnson Long Island City,2,"4,352",40.7565683,-73.9420318
6,7.8,7.3,7.0,7.4,7.4,8.0,6.9,"14425 153rd Lane, Queens, NY 11434, United States of America",7.4,Best Western JFK Airport,3,"1,407",40.6656,-73.78464799999999
7,7.7,7.5,7.1,5.8,7.7,7.6,6.4,"144-02 135th Avenue, Queens, NY 11436, United States of America",7.3,Hilton New York JFK Airport Hotel,5,"1,568",40.6674532,-73.7956991
8,7.1,6.7,6.4,7.5,6.9,6.9,6.5,"15395 Rockaway Boulevard, Queens, NY 11434, United States of America",6.8,"Howard Johnson Inn-JFK Airport, Jamaica, Queens, NYC",1,"2,973",40.6686545,-73.7811485
9,9.2,8.4,8.1,8.2,8.2,8.6,8.5,"39-12 29th Street, Queens, NY 11101, United States of America",8.5,Nesva Hotel - New York City Vista,2,"1,099",40.7533249,-73.935002
10,8.5,7.9,7.7,8.1,7.7,7.8,7.8,"135-21 37 Avenue, Queens, NY 11354, United States of America",7.9,Asiatic Hotel - Flushing,2,"1,103",40.76126240000001,-73.83238829999999
11,8.3,8.0,8.2,8.7,8.0,8.3,7.9,"37-06 36th Street, Queens, NY 11101, United States of America",8.1,Paper Factory Hotel,5,"1,314",40.7526096,-73.92748209999999
12,7.1,7.1,6.5,7.4,7.2,7.3,6.0,"135-30 140th Street, Queens, NY 11436, United States of America",6.9,Radisson JFK Airport,4,"1,360",40.6673265,-73.7985137
13,8.2,8.2,7.6,8.0,8.0,8.0,7.2,"144-10 135th Avenue, Queens, NY 11436, United States of America",7.9,Hampton Inn NY-JFK Jamaica-Queens,4,"1,332",40.667445,-73.79487200000001
14,8.1,8.1,7.8,7.8,6.9,8.1,7.7,"20-07 127th Street, Queens, NY 11356, United States of America",7.8,Hotel de Point,2,"1,117",40.7811367,-73.841021
15,8.2,7.9,7.6,7.7,7.2,8.3,7.6,"8-08 Queens Plaza South, Queens, NY 11101, United States of America",7.8,Ravel Hotel,5,983,40.7539223,-73.9494071
16,8.1,7.9,7.7,8.2,6.5,8.2,7.4,"177-08 Liberty Avenue, Queens, NY 11433, United States of America",7.6,Sleep Inn JFK Airport,3,"1,198",40.7052728,-73.7821537
17,7.8,7.5,7.2,8.0,7.6,8.1,6.7,"148-18 134th Street, Queens, NY 11430, United States of America",7.5,Hilton Garden Inn Queens/JFK,4,"1,330",40.6657526,-73.8062738
18,7.0,6.9,6.8,7.1,6.9,7.5,6.9,"3805 Hunters Point Avenue, Queens, NY 11101, United States of America",7.0,Red Roof Inn Queens,2,"1,078",40.736868,-73.92792399999999
19,6.9,7.0,6.6,7.8,6.9,6.9,6.5,"139-09 Archer Avenue , Queens, NY 11435, United States of America",6.8,Howard Johnson Jamaica Queens JFK Airport near AirTrain,2,980,40.6996768,-73.8111353
20,8.8,8.8,8.6,8.5,8.3,8.8,8.0,"133-42 39th Avenue, Queens, NY 11354, United States of America",8.5,Hyatt Place Flushing/LGA Airport,5,407,40.7593849,-73.8326682
21,7.9,7.5,7.3,8.1,7.2,7.7,6.9,"3627 Prince Street, Queens, NY 11354-4008, United States of America",7.4,Ramada Flushing Queens,3,413,40.761555,-73.832562
22,7.9,7.8,7.4,8.3,7.6,7.7,6.7,"132-26 South Conduit Avenue, Queens, NY 11430 , United States of America",7.5,Sheraton JFK Airport Hotel,4,489,40.6657819,-73.8067085
23,8.0,8.0,7.6,8.0,8.1,8.0,6.7,"9010 Ditmars Boulevard, Queens, NY 11369, United States of America",7.7,Courtyard by Marriott New York LaGuardia Airport,5,258,40.76922769999999,-73.87968149999999
24,8.3,8.1,7.8,8.6,7.7,8.3,7.9,"3934 21 Street, Queens, NY 11101, United States of America",8.0,Best Western Plaza - Long Island City,1,"1,904",40.7557946,-73.9411404
25,7.0,7.5,7.0,7.6,8.0,6.8,7.7,"40-34 Crescent Street, Queens, NY 11101, United States of America",7.3,Country Inn & Suites By Carlson Long Island City,1,"1,579",40.7527349,-73.9389672
26,8.2,8.1,7.7,8.2,8.0,8.3,7.1,"145-11 North Conduit Avenue, Queens, NY 11436, United States of America",7.9,Courtyard by Marriott New York JFK Airport,5,495,40.6672795,-73.7942022
27,7.0,7.0,6.6,7.7,7.5,6.9,6.8,"37-18 Queens Boulevard, Queens, NY 11101, United States of America",7.0,La Quinta Inn Queens,2,696,40.7437846,-73.92734639999999
28,9.2,8.7,8.6,8.9,7.8,8.7,7.9,"29-15 Queens Plaza North, Queens, NY 11101, United States of America",8.5,Courtyard by Marriott Long Island City/New York Manhattan View,5,72,40.7498919,-73.9377215
29,9.3,8.7,8.4,8.9,8.3,8.7,7.9,"92-77 Queens Blvd, Queens, 11374, United States of America",8.6,Wyndham Garden LaGuardia South,4,116,40.7317236,-73.8660883
30,6.5,6.2,5.7,6.9,6.4,6.5,5.8,"151-20 Baisley Blvd, Queens, NY 11434, United States of America",6.2,Garden Inn & Suites - JFK,3,"1,072",40.66763840000001,-73.7864944
31,9.2,8.4,8.2,8.8,8.4,9.0,8.4,"44-04 21st Street, Queens, NY 11101, United States of America",8.6,LIC Hotel,3,401,40.7494087,-73.9470496
