,Address,description,detail,Lat,Lng,Name,Avgscore,Total_review
0,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required.Open Daily.    ",Recommended length of visit: 1-2 hours   Fee: No,40.71151,-74.01332,The National 9/11 Memorial & Museum,4.5,57143
1,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.    ",Recommended length of visit: 2-3 hours   Fee: Yes,40.77943,-73.96324,The Metropolitan Museum of Art,5,38592
2,"1 E. 70th St., Fifth Ave., New York City, NY 10021-4994","Henry Frick once resided in this 18th-century French-style mansion; now its the home of his impressive art collection, which includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more.     ",-999,40.77129,-73.9673,Frick Collection,4.5,6984
3,"420 W 14th St, Floor 2, New York City, NY 10014-1064","Ground Zero Museum Workshop: Images & Artifacts from the 9/11 Recovery, in the Meatpacking District near Chelsea Market and the High Line Park. A 5-Star Rated Tour. Want to feel what it was like to be with FDNY Firefighters on the front lines after the 9/11 attacks? Want to educate your kids about this tough subject in a gentle and non-threatening way? Experience the Stunning Images of Official Ground Zero Photographer Gary Marlon Suson. ""Rare Photos"" (New York Times) are displayed, some in lifelike 3D installations, as well as artifacts & rare video. Rated in Trip Advisor's ""Top 25 Museums in the USA"" for 2013 and 2014 and in Trip Advisor's ""Hall of Fame."" Presented in BOSE Surround Sound Audio. 100 Stories. Praised by parents as a ""safe"" introduction to 9/11. Guests are allowed to pick up rare World Trade Center artifacts. Daily 1.5-hour audio tours from 11am-3pm Wednesday through Sunday include a tour guide and the self-guided audio narration in Dolby Stereo, in English, Italian, French and Spanish. Proceeds shared with 9/11 and FDNY Charity. Walk-ins welcome. CLOSED MONDAY and TUESDAY. ""Incredible Images"" says Fox News Channel. Known worldwide as the ""Biggest LITTLE Museum in New York."" The ""first stop"" before heading to visit Ground Zero. On display are ""The Frozen Clock"" - ""The Bible Page"" - artifacts such as the largest piece of World Trade window glass in existence and many more well-known images featured on FOX NEWS, BBC and CNN. Small gift area sells books and posters. No graphic footage nor images from morning of 9/11 are shown at GZMW. Tastefully and realistically presented. This award-winning tour is a wonderful prequel to your visit to the National 9/11 Memorial + Museum. Reservations accepted. Handicapped accessible. New 2016 Fall Hours: Closed Monday + Tuesday. Open Wednesday thru Sunday 11am-3pm.    ",Recommended length of visit: 1-2 hours,40.742065,-74.00253,Ground Zero Museum Workshop,5,2619
4,"99 Margaret Corbin Drive, Fort Tryon Park, New York City, NY 10040","Branch of the Metropolitan Museum of Art that was constructed out of sections of French medieval monasteries, offers an extensive collection of statues, paintings, stained glass windows and tapestries.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.864834,-73.932014,The Met Cloisters,4.5,3969
5,"476 5th Ave New York, NY 10018, New York City, NY 10018","Two marble lions mark the entrance to this Beaux Arts masterpiece, a National Historic Landmark containing more than six million books.     ",-999,40.753094,-73.981705,New York Public Library,4.5,8979
6,"103 Orchard Street, Lower East Side, New York City, NY 10002","The Tenement Museum preserves the history of immigration through the personal accounts of those who built lives in the Lower East Side. Visitors can view restored apartments from the 19th and 20th centuries, walk the historic neighborhood, and interact with residents to learn the stories of generations of immigrants who helped shape the American experience.The museum is available by guided tour only. Each tour focuses on a specific theme and takes visitors to a different area of the building or neighborhood.    ",Recommended length of visit: 1-2 hours,40.71881,-73.99001,Tenement Museum,4.5,4603
7,"11 West 53rd Street, New York City, NY 10019","Located in the heart of midtown Manhattan, The Museum of Modern Art is home to the world's greatest collection of modern and contemporary art. The collection includes Vincent van Gogh's ""The Starry Night"" and Andy Warhol's ""Gold Marilyn Monroe,"" along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray, and many other great artists of our time. MoMA's collection also showcases photography, film, architecture, design, media, and performance art. Visitors can also enjoy shopping and fine and casual dining options.    ",Recommended length of visit: 2-3 hours   Fee: Yes,40.761433,-73.97762,The Museum of Modern Art (MoMA),4.5,11374
8,"79th Street and Central Park West, New York City, NY 10024","Interactive, modernized exhibits and an IMAX theater help bring this museum, dedicated to understanding the past, into the 21st century.    ",Recommended length of visit: More than 3 hours   Fee: Yes,40.781322,-73.97399,American Museum of Natural History,4.5,14961
9,"12th Avenue & 46th Street, Pier 86, New York City, NY 10036","The Intrepid Sea, Air & Space Museum is a nonprofit, educational institution featuring the legendary aircraft carrier Intrepid, the space shuttle Enterprise, the world's fastest jets and a guided missile submarine. Through exhibitions, educational programming and the foremost collection of technologically groundbreaking aircraft and vessels, visitors of all ages and abilities are taken on an interactive journey through history to learn about American innovation and bravery.åÊ Welcoming over one million visitors annually, the Museum includes the Space Shuttle Pavilion, home to Enterprise, the world's first space shuttle that paved the way for America's successful Space Shuttle Program. On display are more than two dozen authentically restored aircraft, including the Lockheed A-12 Blackbird, the world's fastest military jet and spy plane, and the British Airways Concorde, the fastest commercial aircraft to ever cross the Atlantic Ocean. The Museum also includes the submarine Growler, the only American diesel-powered strategic missile submarine open to the public; the Exploreum Interactive Hall, a fully interactive exhibit space; an 18,000 sq. ft. education center; and Pier 86, a publicly accessible pier that is part of the Hudson River Park Trust.åÊ Download our free iPhone app, Mission Intrepid: Explore Enterprise, from the App Store today, and enhance your experience in the Space Shuttle Pavilion!The mission of the Intrepid Sea, Air & Space Museum is to promote the awareness and understanding of history, science and service through its collections, exhibitions and programming in order to honor our heroes, educate the public and inspire our youth.    ",Recommended length of visit: More than 3 hours,40.764526,-73.99961,"Intrepid Sea, Air & Space Museum",4.5,6049
10,"225 Madison Avenue at 36th Street, New York City, NY 10016","Just a short walk from Grand Central and Penn Station, the Morgan is a major exhibition venue for fine art, literature, and music, one of New York's great historic sites, and a wonderful place to dine, shop, and attend a concert or film.    ",Recommended length of visit: 1-2 hours,40.748928,-73.9813,The Morgan Library & Museum,4.5,1188
11,"New York Harbor, New York City, NY 10017",Visitors can retrace the steps of their ancestors at this famous landing point that welcomed millions of immigrants to the United States.    ,-999,40.6989,-74.03972,Ellis Island,4.5,4309
12,"99 Gansevoort Street, New York City, NY 10014","The Whitney Museum of American Art, founded in 1930 by the artist and philanthropist Gertrude Vanderbilt Whitney, houses the foremost collection of American art from the twentieth and twenty-first centuries. Mrs. Whitney, an early and ardent supporter of modern American art, nurtured groundbreaking artists at a time when audiences were still largely preoccupied with the Old Masters. From her vision arose the Whitney Museum of American Art, which has been championing the most innovative art of the United States for more than eighty years. The core of the Whitney's mission is to collect, preserve, interpret, and exhibit American art of our time and serve a wide variety of audiences in celebration of the complexity and diversity of art and culture in the United States. Through this mission and a steadfast commitment to artists themselves, the Whitney has long been a powerful force in support of modern and contemporary art and continues to help define what is innovative and influential in American art today.    ",Recommended length of visit: 1-2 hours,40.73942,-74.00842,Whitney Museum of American Art,4.5,2090
13,"Battery Park and Liberty Island, New York City, NY 10017",-999,-999,40.699055,-74.03969,Ellis Island Immigration Museum,4.5,1950
14,"1048 5th Ave, New York City, NY 10028-0111",A museum displaying works of art by German and Austrian artists and designers.    ,-999,40.78143,-73.9604,Neue Galerie,4.5,1035
15,"234 W. 42nd Street, New York City, NY 10036","Get your selfie sticks ready! Madame Tussauds in Times Square is the only place with no ropes or barriers holding you back from getting photos with your favorite stars! Voted as one of New York's most unique attractions, Madame Tussauds invites you to pose with over 200 figures of internationally renowned musicians, A-list stars, sports legends, world leaders, super heroes and more. With several newly renovated spaces, the world famous wax attraction is bigger and better than ever!    ",Recommended length of visit: 1-2 hours,40.75683,-73.98863,Madame Tussauds New York,4,5965
16,"12 Eldridge St, Between Canal and Division Streets, New York City, NY 10002-6204 (Formerly Eldridge Street Synagogue)","Historic 127 year old synagogue in the Lower East Side.$12 adults, $10 students/seniors, $8 children. Mondays free.    ",-999,40.71474,-73.99355,Museum at Eldridge Street,4.5,244
17,"150 West 17th Street, New York City, NY 10011","The Rubin Museum of Art is an arts oasis and cultural hub in New York City's vibrant Chelsea neighborhood that inspires visitors to make powerful connections between contemporary life and the art and ideas of the Himalayas, India, and neighboring regions. With a diverse array of thought-provoking exhibitions and programs-including films, concerts, and on-stage conversations-the Rubin provides immersive experiences that encourage personal discoveries and spark new ways of seeing the world. Emphasizing cross-cultural connections, the Rubin is a space to contemplate the big questions that extend across history and span human cultures.    ",-999,40.740253,-73.9977,Rubin Museum of Art,4.5,238
18,"1 Bowling Green, New York City, NY 10004","The New York branch of the Smithsonian Institution's National Museum of the American Indian serves as an exhibition and education facility in New York City. Exhibitions and public programs explore the diversity of the Native peoples of the Americas and the strength and continuity of their cultures from the earliest times to the present. Public programs present Native people from North, Central, and South America. Program participants share first-person accounts of their heritage and experiences. The museum is located on the first two floors of the historic Alexander Hamilton U.S. Custom House in lower Manhattan. The museum is open seven days a week. Admission is free.    ",Recommended length of visit: 1-2 hours   Fee: No,40.705437,-74.0141,National Museum of the American Indian,4,503
19,"2 E 91st Street, New York City, NY 10128","Cooper Hewitt, Smithsonian Design Museum is the only museum in the United States devoted exclusively to historic and contemporary design. After a three-year renovation, the museum re-opened in December 2014 with exhibitions featuring a rich mix of design objects from our permanent collection, unique temporary installations, and dynamic interactive experiences. We also have an exciting calendar of events, including hands-on workshops, talks, and family programs.    ",-999,40.784454,-73.95798,"Cooper Hewitt, Smithsonian Design Museum",4.5,311
20,"36 Battery Place, Edmond J. Safra Plaza, New York City, NY 10280","The mission of the Museum is to educate people of all ages and backgrounds about the broad tapestry of Jewish life in the 20th and 21st centuries-before, during, and after the Holocaust. Multiple perspectives on modern Jewish history, life, and culture are presented in the Museum's unique Core Exhibition and award-winning special exhibitions. Acclaimed public programs, including discussions, films, plays, and concerts, highlight the richness of Jewish culture and ideas.    ",-999,40.70598,-74.01857,Museum of Jewish Heritage,4.5,259
21,"1071 Fifth Ave. at 89th St., New York City, NY 10128",The circular Frank Lloyd Wright-designed building is as much of a draw as the museum's collection of modern art.    ,-999,40.783028,-73.959335,Solomon R. Guggenheim Museum,3.5,3828
