,Address,Lat,Lng,Name,Avgscore
0,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089",40.71151,-74.01332,The National 9/11 Memorial & Museum,9.0
1,"1000 5th Ave, New York City, NY 10028-0198",40.77943,-73.96324,The Metropolitan Museum of Art,10.0
2,"1 E. 70th St., Fifth Ave., New York City, NY 10021-4994",40.77129,-73.9673,Frick Collection,9.0
3,"420 W 14th St, Floor 2, New York City, NY 10014-1064",40.742065000000004,-74.00253000000001,Ground Zero Museum Workshop,10.0
4,"99 Margaret Corbin Drive, Fort Tryon Park, New York City, NY 10040",40.864834,-73.932014,The Met Cloisters,9.0
5,"476 5th Ave New York, NY 10018, New York City, NY 10018",40.753094,-73.981705,New York Public Library,9.0
6,"103 Orchard Street, Lower East Side, New York City, NY 10002",40.71881,-73.99001,Tenement Museum,9.0
7,"11 West 53rd Street, New York City, NY 10019",40.761433000000004,-73.97762,The Museum of Modern Art (MoMA),9.0
8,"79th Street and Central Park West, New York City, NY 10024",40.781321999999996,-73.97399,American Museum of Natural History,9.0
9,"12th Avenue & 46th Street, Pier 86, New York City, NY 10036",40.764526000000004,-73.99961,"Intrepid Sea, Air & Space Museum",9.0
10,"225 Madison Avenue at 36th Street, New York City, NY 10016",40.748928,-73.9813,The Morgan Library & Museum,9.0
11,"New York Harbor, New York City, NY 10017",40.6989,-74.03971999999999,Ellis Island,9.0
12,"99 Gansevoort Street, New York City, NY 10014",40.73942,-74.00842,Whitney Museum of American Art,9.0
13,"Battery Park and Liberty Island, New York City, NY 10017",40.699055,-74.03969000000001,Ellis Island Immigration Museum,9.0
14,"1048 5th Ave, New York City, NY 10028-0111",40.78143,-73.9604,Neue Galerie,9.0
15,"234 W. 42nd Street, New York City, NY 10036",40.75683,-73.98863,Madame Tussauds New York,8.0
16,"12 Eldridge St, Between Canal and Division Streets, New York City, NY 10002-6204 (Formerly Eldridge Street Synagogue)",40.71474,-73.99355,Museum at Eldridge Street,9.0
17,"150 West 17th Street, New York City, NY 10011",40.740253,-73.9977,Rubin Museum of Art,9.0
18,"1 Bowling Green, New York City, NY 10004",40.705436999999996,-74.0141,National Museum of the American Indian,8.0
19,"2 E 91st Street, New York City, NY 10128",40.784454,-73.95798,"Cooper Hewitt, Smithsonian Design Museum",9.0
20,"36 Battery Place, Edmond J. Safra Plaza, New York City, NY 10280",40.70598,-74.01857,Museum of Jewish Heritage,9.0
21,"1071 Fifth Ave. at 89th St., New York City, NY 10128",40.783028,-73.959335,Solomon R. Guggenheim Museum,7.0
22,"417 5th Ave, New York City, NY 10016-2204",40.750896000000004,-73.98226,Saturday Night Live - The Exhibition,9.0
23,"1109 Fifth Avenue, New York City, NY 10128",40.78522,-73.95723000000001,The Jewish Museum,9.0
24,"1220 Fifth Avenue, at 103rd Street, New York City, NY 10029",40.792496,-73.951904,Museum of the City of New York,8.0
25,"Fulton & South Streets, Pier 17, New York City, NY 10038",40.707138,-74.00216999999999,South Street Seaport,8.0
26,"945 Madison Avenue, at 75th Street, New York City, NY 10021",40.772686,-73.963486,The Met Breuer,9.0
27,"170 Central Park West, at Richard Gilder Way (77th Street), New York City, NY 10024",40.779305,-73.97426999999999,New-York Historical Society Museum & Library,8.0
28,"29 E 4th St, New York City, NY 10003-7003",40.727444,-73.99176999999999,Merchant's House Museum,9.0
29,"226 West 44th St, New York City, NY 10036",40.757607,-73.987305,Discovery Times Square,7.0
30,"Central Park West and 79th Street, American Museum of Natural History, New York City, NY 10024",40.781166,-73.97352,Hayden Planetarium,9.0
31,"2 Columbus Circle, New York City, NY 10019",40.767403,-73.98198000000001,Museum of Arts and Design,8.0
32,"234 West 42nd Street, New York City, NY 10036",40.75678,-73.98843000000001,Ripley's Believe It or Not - Times Square,7.0
33,"Seventh Avenue at 27th Street, New York City, NY 10001",40.746704,-73.99391,The Museum at FIT,9.0
34,"226 W 44th St, New York City, NY 10036-3906",40.757957,-73.987236,Body World,9.0
35,"278 Spring Street, New York City, NY 10013",40.725567,-74.006935,New York City Fire Museum,9.0
36,"97 Orchard St, New York City, NY 10002-3102",40.718536,-73.99027,Lower East Side Tenement Museum,9.0
37,"10 Columbus Cir, New York City, NY 10019-1158",40.767815,-73.982124,Time Warner Center,8.0
38,"613 West 155th St, at Broadway, New York City, NY 10032-7501",40.833588,-73.94579,Hispanic Society of America,9.0
39,"54 Pearl St, New York City, NY 10004-4300",40.703434,-74.01129,Fraunces Tavern Museum,9.0
40,"44 Maiden Lane, New York City, NY 10045",40.708667999999996,-74.009,Federal Reserve Bank of New York,8.0
41,"11 E 26th St, New York City, NY 10010-1402",40.74333,-73.98754,National Museum of Mathematics,7.0
42,"28 East 20th Street, between Broadway and Park Avenue South, New York City, NY 10003",40.738857,-73.98917,Theodore Roosevelt Birthplace National Historic Site,9.0
43,"80 Saint Marks Pl, New York City, NY 10003-8194",40.72765,-73.98573,Museum of the American Gangster,8.0
44,"212 W. 83d St., New York City, NY 10024",40.785790000000006,-73.97709,Children's Museum of Manhattan,8.0
45,"48 Wall Street, Ok, New York City, NY 10005 (Formerly Museum of American Financial History)",40.706345,-74.009346,Museum of American Finance,8.0
46,"235 Bowery, New York City, NY 10002",40.72234,-73.99289,New Museum,7.0
47,"215 Centre Street, New York City, NY 10013",40.719559999999994,-73.9988,Museum of Chinese in America,8.0
48,"65 Jumel Terrace, Washington Heights, New York City, NY 10032",40.834472999999996,-73.93858,Morris-Jumel Mansion,8.0
49,"2 Lincoln Square, Columbus Avenue between 65th and 66th Streets, New York City, NY 10023",40.773296,-73.98151,American Folk Art Museum,8.0
50,"128 East 63rd Street, New York City, NY 10021",40.764720000000004,-73.9669,Society of Illustrators,9.0
51,"American Museum of Natural History, New York City, NY 10024",40.780766,-73.97268000000001,Rose Center for Earth and Space,9.0
52,"421 7th Ave Fl 3, New York City, NY 10001-2002",40.750343,-73.99068,Houdini Museum of New York at Fantasma Magic,9.0
53,"39 Battery Place, (at Nassau St.), New York City, NY 10280",40.706540000000004,-74.01675,Skyscraper Museum,7.0
54,"250 Bowery, New York City, NY 10012-3010",40.755493,-73.98366,International Center of Photography Museum,8.0
55,"103 Charlton Street, New York City, NY 10014",40.727615,-74.008156,Children's Museum of the Arts,9.0
56,"144 W 125th St, New York City, NY 10027-4423",40.808434000000005,-73.94765500000001,The Studio Museum in Harlem,8.0
57,"319 W 107th St., New York City, NY 10025",40.802845,-73.969215,Nicholas Roerich Museum,9.0
58,"725 Park Avenue (at 70th Street), New York City, NY 10021",40.769756,-73.96468,Asia Society and Museum,8.0
59,"226 W 44th St, New York City, NY 10036-3906",40.757740000000005,-73.98727,The Hunger Games Exhibition,9.0
60,"421 E 61st St, New York City, NY 10065-8736",40.760406,-73.95993,Mount Vernon Hotel Museum & Garden,9.0
61,"1230 Fifth Ave. at 104th Street, New York City, NY 10029",40.79298,-73.95206,El Museo del Barrio,7.0
62,"12 Fulton St, New York City, NY 10038-2109",40.70543,-74.002884,South Street Seaport Museum,8.0
63,"417 5th Ave, New York City, NY 10016-2204",40.750534,-73.98264,The Discovery of King Tut,9.0
64,"1083 5th Ave, New York City, NY 10128",40.783609999999996,-73.95848000000001,National Academy of Design Museum,9.0
65,"790 7th Avenue, corner 52nd Street, Sheraton Manhattan Hotel, New York City, NY",40.76191,-73.98286,An American Craftsman,8.0
66,"1865 Broadway, New York City, NY 10023",40.77026,-73.98274,Museum of Biblical Art,8.0
67,"44 Park Pl, New York City, NY 10007-2500",40.713192,-74.00947,The Anne Frank Center USA,9.0
68,"25 W 52nd Street, New York City, NY 10019",40.760605,-73.9776,Paley Center for Media,7.0
69,"26 Wooster St, New York City, NY 10013-2227",40.72163,-74.00303000000001,Leslie-Lohman Museum of Gay and Lesbian Art,8.0
70,"233 Fifth Ave, New York City, NY 10016",40.744038,-73.98749000000001,Museum of Sex,5.0
71,"15 E 84th St, New York City, NY 10028-0458",40.78002,-73.96019,Institute for the Study of the Ancient World,10.0
72,"555 W. 24th St., New York City, NY",40.74943,-74.00596,Gagosian Gallery,9.0
73,"15 Gramercy Park South, New York City, NY 10003",40.736614,-73.985275,The National Arts Club,10.0
74,"530 W 25th Street, New York City, NY",40.74935,-74.00469,Agora Gallery,9.0
75,"333 E 47th St, Btw. 1st and 2nd Aves, New York City, NY",40.752556,-73.96825,Japan Society,9.0
76,"1334 York Ave, New York City, NY 10021",40.766293,-73.95354499999999,Sotheby's,9.0
77,"58 Park Ave, New York City, NY 10016-3007",40.749443,-73.97995999999999,Scandinavia House,8.0
78,"222 East 6th Street, (Between 2nd and 3rd Avenues), New York City, NY 10003",40.72767,-73.98976,Ukrainian Museum,8.0
79,"89 E 42nd Street, Grand Central Terminal, New York City, NY 10017",40.75242,-73.977936,New York Transit Museum,9.0
80,"50 Mott St, New York City, NY 10013-5023",40.715416,-73.99840999999999,Yunhong Chopsticks,10.0
81,"226 E 42nd St, New York City, NY 10017-5806",40.749874,-73.97283,Museum of Tolerance,9.0
82,"155 Mulberry St, New York City, NY 10013-4721",40.71926,-73.99753,Italian American Museum,8.0
83,"15 W. 16th St, New York City, NY 10011",40.738003000000006,-73.99372,Center for Jewish History,9.0
84,"645 5th Ave, New York City, NY 10022-5910",40.759308000000004,-73.97631,Onassis Cultural Center,10.0
85,"525 West 19th Street, New York City, NY 10011",40.7458,-74.00704,David Zwirner Gallery,9.0
86,"519 W. 24th St., New York City, NY",40.748917,-74.00457,Metro Pictures,8.0
87,"101 Spring St, New York City, NY 10012-3903",40.723507,-73.99936,Judd Foundation,9.0
88,"18 W 86th St, New York City, NY 10024-3602",40.785509999999995,-73.97060400000001,The Bard Graduate Center,9.0
89,"55 Murray St, New York City, NY 10007",40.714394,-74.00956,Tribeca Art Factory,10.0
90,"Murly Square, Greenwich Avenue W 11th, New York City, NY",40.736540000000005,-74.0011,Tiles For America,10.0
91,"833 Broadway, Suite 6, New York City, NY 10003-4700",40.733909999999995,-73.991196,Lilac Gallery,10.0
92,"280 Broome St, New York City, NY 10002-3702",40.718579999999996,-73.99118,Kehila Kedosha Janina,10.0
93,"991 5th Ave, New York City, NY 10028-0101",40.777809999999995,-73.96309000000001,American Irish Historical Society,9.0
94,"Intersection of Eighth Avenue, Broadway, and West 59th Street, New York City, NY",-999.0,-999.0,Discovering Columbus,10.0
95,"155 Avenue C, New York City, NY 10009-5410",40.725765,-73.97797,Museum of Reclaimed Urban Space (MoRUS),9.0
96,"47 Fifth Ave, Between 11th and 12th streets, New York City, NY",40.734238,-73.9945,Salmagundi Museum of American Art,10.0
97,"60 E 8th St Apt 12P, New York City, NY 10003-6539",40.730553,-73.99305,The Museum of Interesting Things,10.0
98,"6 Pennyfield Avenue, New York City, NY 10465",40.805225,-73.79151999999999,Maritime Industry Museum at Fort Schuyler,10.0
99,"104 E 126th St, South side of 129th, near intersection w Malcolm X Blvd, New York City, NY 10035-1621",40.805283,-73.93800999999999,The National Jazz Museum in Harlem,9.0
100,"54 Greene St, New York City, NY 10013-2603",40.722248,-74.00155,AFA Gallery,10.0
101,"511 W 18th St, New York City, NY 10011-2822",40.745197,-74.00711,Hauser & Wirth,10.0
102,"36 E 12th St, New York City, NY 10003-4604",40.73345,-73.992226,Seidenberg Antiques,10.0
103,"235 East 20th St, New York City, NY 10003-1801",40.736595,-73.98319000000001,Police Academy Museum,10.0
104,"390 Park Ave, New York City, NY 10022-4608",40.75936,-73.9727,Lever House,8.0
105,"594 Broadway Rm 401, Between Houston and Prince, New York City, NY 10012-3234",40.724920000000004,-73.99688,Museum of Comic and Cartoon Art MOCCA NYC,6.0
106,"526 Laguardia Pl, New York City, NY 10012-1401",40.728493,-73.99889,The Renee and Chaim Gross Foundation,10.0
107,"419 W Broadway, New York City, NY 10012-3763",40.724920000000004,-74.00124,Lik Soho,10.0
108,"72 Berry St, New York City, NY",40.72002,-73.9575,Momenta Art,10.0
109,"100 Washington Square East, New York City, NY 10012",40.730396,-73.99603,Grey Art Gallery NYU,10.0
110,"257 Bowery, New York City, NY 10002",40.723145,-73.99257,Sperone Westwater,9.0
111,"145 6th Avenue, Between Spring and Broome Streets, New York City, NY 10013-1548",40.725113,-74.004875,HERE,9.0
112,"170 Central Park West, New York City, NY 10024",40.779266,-73.9742,DiMenna Children's History Museum,8.0
113,"226 W 44th St, between 7th & 8th avenue, New York City, NY 10036-3906",40.757740000000005,-73.98727,Tutankhamun And The Golden Age Of The Pharaohs,5.0
114,"393 W Broadway, New York City, NY 10012-4359",40.724090000000004,-74.00215,The Broken Kilometer,9.0
115,"35 Wooster St, New York City, NY 10013-5300",40.72245,-74.00291,The Drawing Center,8.0
116,"1285 Avenue of the Americas, New York City, NY 10019-6031",40.760853000000004,-73.97989,Paine Webber Art Gallery,10.0
117,"3 East 65th St, New York City, NY 10021-6527",40.76775,-73.96934,Howard S. Rose Gallery,10.0
118,"52 E 76th St, New York City, NY 10021-2755",40.7739,-73.96266999999999,William Secord Gallery,10.0
119,"215 West 57th St, New York City, NY 10019",40.766009999999994,-73.98079,The Art Students League of New York,8.0
120,"41 East 57th St., New York City, NY 10022",40.76227,-73.9719,Howard Greenberg Gallery,9.0
121,"125 E 65th St, New York City, NY 10065-7006",40.766422,-73.96588,China Institute,8.0
122,"526 W. 26th St., New York City, NY",40.750170000000004,-74.00441,Galerie Lelong,9.0
123,"15 W 16th St, New York City, NY 10011-6301",40.738003000000006,-73.99372,Yeshiva University Museum,9.0
124,"230 Vesey St, Located at Brookfield Place, New York City, NY 10281-1027",40.713215000000005,-74.01524,Museum of Feelings,8.0
125,"15 White St, New York City, NY 10013-2406",40.718975,-74.0056,SohoPhoto Gallery,9.0
126,"787 Seventh Ave, New York City, NY",40.761837,-73.98218,AXA Gallery,9.0
127,"420 West 14th Street, New York City, NY 10014",40.74133,-74.00664,Heller Gallery,9.0
128,"40 West 57th Street, New York City, NY 10019",40.763794,-73.97632,Marlborough Gallery,7.0
129,"79th and Broadway, On wall of Zabar, New York City, NY",40.783809999999995,-73.97989,"Banksy's ""Hammer Boy""",10.0
130,"70 East 55th St., 6th Floor, New York, NY 10022, 6th Floor, New York City, NY 10022",40.760436999999996,-73.97253,Martayan Lan Antique Maps,10.0
131,"548 West 28th Street, 5th Floor, #534, New York City, NY 10001",40.751568,-74.00419000000001,Carter Burden Gallery,10.0
132,"154 Ludlow St, New York City, NY 10002-2211",40.720894,-73.98769,Richard Taittinger Gallery,10.0
133,"97 Kenmare St, New York City, NY 10012-4506",40.721478000000005,-73.9971,Storefront for Art and Architecture,10.0
134,"530 W 25th St, Suite 406, New York City, NY 10001-5516",40.74935,-74.00469,New Century Artists,10.0
135,"Central Park, New York City, NY",40.76763,-73.97847,Charles A Dana Discovery Center,10.0
136,"534 West 21st Street, New York City, NY 10011",40.74692,-74.00689,Paula Cooper Gallery,10.0
137,"1018 Madison Ave, New York City, NY",40.776005,-73.96265,Mitchell-Innes & Nash,10.0
138,"745 5th Ave, New York City, NY",40.763287,-73.97316,Edwynn Houk,10.0
139,"547 W. 25th St, New York City, NY",40.750027,-74.005135,Cheim & Read,10.0
140,"516 West 24th Street, New York City, NY 10011",40.74878,-74.00473000000001,Gladstone Gallery,10.0
141,"511 West 20th St, New York City, NY",40.746326,-74.00609,ATM Gallery,10.0
142,"459 West 19th St, New York City, NY",40.745090000000005,-74.00536,Postmasters Gallery,10.0
143,"531 West 24th St, New York City, NY 10011",40.74913,-74.00519,Luhring Augustine Gallery,10.0
144,"515 W 20th St, Suite 4E, New York City, NY 10011-2831",40.746323,-74.00631,Children's Galleries for Jewish Culture,10.0
145,"316 W. 115th Street, New York City, NY",40.8039,-73.95682,African-American Wax Museum of Harlem,10.0
146,"258 St. Nicholas Avenue, New York City, NY 10027",40.809307000000004,-73.95265,Dwyer Cultural Center,9.0
147,"362 W Broadway, New York City, NY 10013-5303",40.72312,-74.00333,Lumas New York - SoHo,7.0
148,"2 E 79th St, New York City, NY 10075-0106",40.776714,-73.96354000000001,Ukrainian Institute of America,7.0
149,"787 7th Avenue at 51st Street, New York City, NY",40.761720000000004,-73.98281,Equitable Gallery,6.0
150,"547 West 27 Street, New York City, NY 10001",40.75122,-74.004395,Montserrat Gallery,8.0
151,"670 Broadway, Suite 500, New York City, NY 10012-2318",40.72723,-73.9948,Leica Photographic Gallery,7.0
152,"421 Broome St, 4th Floor, New York City, NY 10013-3288",40.721140000000005,-73.99880999999999,CIMA - Center for Italian Modern Art,10.0
153,"56 e 1st st, New York City, NY 10003",40.723890000000004,-73.9893,City Lore Gallery,8.0
154,"West Street, Pier 25, New York City, NY 10013",40.721924,-74.01194,Lilac,8.0
155,"981 Madison Ave, The Carlyle Hotel, Second Floor, New York City, NY 10075-1825",40.774445,-73.96316999999999,Di Donna Gallery,8.0
156,"115 Spring St, New York City, NY 10012-3817",40.723827,-73.999954,Opera Gallery,8.0
157,"1190 Amsterdam Ave. MC 5502, 926 Schermerhorn Hall, New York City, NY 10025",40.808502000000004,-73.960014,Miriam and Ira D. Wallach Art Gallery,8.0
158,"78 W 120th St, New York City, NY 10027-6533",40.804115,-73.94729,Alex Adam Gallery,8.0
159,"166 Orchard St, New York City, NY 10002-2282",40.721153,-73.98843000000001,Anastasia Photo,8.0
160,"149 Orchard Street, New York City, NY 10002",40.720688,-73.98918,Krause Gallery,8.0
161,"57 Stanton Street, New York City, NY 10002",40.72185,-73.99029499999999,Fusion Arts Museum,8.0
162,"383 West Broadway, New York City, NY",40.72383,-74.00236,OK Harris,8.0
163,"605 Madison Ave, New York City, NY",40.76262,-73.97175,Ronin Gallery,8.0
164,"556 W 22nd St, New York City, NY 10011-1108",40.74801,-74.00724,Chelsea Art Museum,8.0
165,"34 W 137th St # 41, New York City, NY 10037-1901",40.814793,-73.93848,Lewis H. Latimer House Museum,6.0
166,"534 W. 25th St, New York City, NY",40.74957,-74.00488,Pace Wildenstein - 25 St,6.0
167,"528 W. 29th St, New York City, NY",40.75203,-74.00301999999999,Sean Kelly,6.0
168,"989 Madison Ave, New York City, NY 10021-1825",40.77475,-73.96309000000001,Kenneth W. Rendell Gallery,5.0
169,"Broadway between 155th and 156th Streets, New York City, NY 10032",40.8334,-73.94524,American Numismatic Society,5.0
170,"781 Fifth Ave, New York City, NY 10022",40.76439,-73.97270999999999,A La Vieille Russie,6.0
171,"145 Sixth Avenue, 601 Fifth Ave., New York City, NY 10013",40.725159999999995,-74.00493,Dahesh Museum of Art,4.0
172,"15 East 9th Street, Between 5th Avenue and University Place, New York City, NY 10003-5905",40.73261,-73.9948,Margo Feiden Galleries Ltd,-1998.0
173,"1426 Avenue of the Americas, New York City, NY 10019-1504",40.765133,-73.97627,Jalallar Gallery,2.0
174,"210 Eleventh Avenue - 2nd Floor, New York City, NY 10001",40.749846999999995,-74.00589000000001,Kent Gallery,2.0
175,"523 West 24th St, New York City, NY 10011-1108",40.74901,-74.00489,Matthew Marks Gallery,2.0
176,"West End, New York City, NY",40.78751,-73.97886,Nadja Hansen/ Art Explorations,-1998.0
177,"536 West 22nd Street, New York City, NY 10011",40.747562,-74.00633,Lehmann Maupin,-1998.0
178,"27 West 28th Street, Floor 3, New York City, NY 11101",40.7455,-73.98897,The Center for Book Arts,-1998.0
179,"55 Chrystie St, Suite 202, New York City, NY 10002",40.71651,-73.99503,Johannes Vogt Gallery,-1998.0
180,"170 Suffolk Street, New York City, NY 10002",40.72094,-73.98496999999999,Rachel Uffner,-1998.0
