,Address,Lat,Lng,Name,Avgscore
0,"182 Havemeyer StBrooklyn, NY 11211",40.710663000000004,-73.9577,Kabob Shack,8.0
1,"219 W 116 StNew York, NY 10026",40.803858,-73.953553,Safari Restaurant NYC,9.0
2,"165 W 26th StNew York, NY 10001",40.745956,-73.993581,B&B Restaurant Corp,9.0
3,"2065 Adam Clayton Powell Jr BlvdNew York, NY 10027",40.80795,-73.949087,Accra Restaurant,8.0
4,"210 W 118th StNew York, NY 10026",40.804788,-73.9525,The Cecil,7.0
5,"218 3rd AveNew York, NY 10003",40.736295,-73.985316,Ponty Bistro,8.0
6,"163B W 29th StNew York, NY 10001",40.747791,-73.99239399999999,B & D Halal Restaurant,8.0
7,"42 E 20th StNew York, NY 10003",40.738527000000005,-73.9884,Gramercy Tavern,9.0
8,"207 2nd AveNew York, NY 10003",40.73169,-73.9858,Momofuku Ssam Bar,8.0
9,"43 E 19th StNew York, NY 10003",40.738183,-73.9886,Craft,8.0
10,"134 Reade StNew York, NY 10013",40.716545,-74.0095,Marc Forgione,8.0
11,"54 Carmine StNew York, NY 10014",40.729765,-74.0037,Market Table,8.0
12,"135 W 42nd StNew York, NY 10036",40.755587,-73.9852,Aureole,8.0
13,"653 11th AveNew York, NY 10036",40.764569,-73.9959,Print,8.0
14,"227 10th AveNew York, NY 10011",40.748121000000005,-74.0041,The Red Cat,8.0
15,"72 Hudson AveBrooklyn, NY 11201",40.702744,-73.9813,Vinegar Hill House,7.0
16,"13 Barrow StNew York, NY 10014",40.732661,-74.0024,Annisa,9.0
17,"70 W 45th StNew York, NY 10036",40.756278,-73.9823,Butter Midtown,7.0
18,"345 Park Ave SNew York, NY 10010",40.741712,-73.9844,Upland,8.0
19,"81 BroadwayBrooklyn, NY 11249",40.710612,-73.9658,Marlow & Sons,8.0
20,"280 5th AveBrooklyn, NY 11215",40.674189,-73.9823,Blue Ribbon Brasserie Brooklyn,8.0
21,"628 10th AveNew York, NY 10036",40.761216,-73.993953,The Marshal,8.0
22,"360 Park Ave SNew York, NY 10010",40.741971,-73.9852,Park Avenue Autumn/Winter/Spring/Summer,8.0
23,"80 Columbus CirNew York, NY 10023",40.76862,-73.982,Asiate,8.0
24,"47 W 38th StNew York, NY 10018",40.751940999999995,-73.98491800000001,David Burke Fabrick,8.0
25,"41 W 57th StNew York, NY 10019",40.764196000000005,-73.9762,Betony,8.0
26,"40 W 55th StNew York, NY 10019",40.76232,-73.97675500000001,Dig Inn,8.0
27,"605 Carlton AveBrooklyn, NY 11238",40.678984,-73.9714,James,8.0
28,"391 Van Brunt StreetBrooklyn, NY 11231",40.675946,-74.0142,The Good Fork,8.0
29,"25 Cooper SqNew York, NY 10003",40.727908,-73.9909,Narcissa,8.0
30,"200 Schermerhorn StBrooklyn, NY 11201",40.688501,-73.9853,Chef's Table at Brooklyn Fare,9.0
31,"103 Greenwich AveNew York, NY 10014",40.737803,-74.002,Monument Lane,8.0
32,"31 8th AveNew York, NY 10014",40.738324,-74.004265,Tavern on Jane,8.0
33,"9 Great Jones StNew York, NY 10012",40.727232,-73.994,Acme,7.0
34,"222 Franklin StBrooklyn, NY 11222",40.733274,-73.9579,Anella,8.0
35,"121 E 17th StNew York, NY 10003",40.736128,-73.9877,The House,7.0
36,"104 N End AveNew York, NY 10282",40.715301000000004,-74.0155,North End Grill,8.0
37,"Rockefeller CtrNew York, NY 10001",40.758793,-73.9782,Rock Center Cafe,6.0
38,"255 Smith StBrooklyn, NY 11231",40.68312,-73.9926,Battersby,8.0
39,"15 W 18th StNew York, NY 10011",40.739148,-73.9927,The Gander,8.0
40,"220 BoweryNew York, NY 10012",40.722007,-73.9937,Pearl & Ash,7.0
41,"430 Hudson StNew York, NY 10014",40.730615,-74.0066,Piora,8.0
42,"117 Perry StNew York, NY 10014",40.735119,-74.0068,Left Bank,8.0
43,"101 W 57th StNew York, NY 10019",40.764668,-73.9774,The Wayfarer,7.0
44,"38-40 Crescent StLong Island City, NY 11101",40.75493,-73.936774,Crescent Grill,9.0
45,"768 5th AveNew York, NY 10019",40.764227000000005,-73.9742,The Palm Court,7.0
46,"20 W 72nd StNew York, NY 10023",40.77653,-73.9774,The Ribbon,7.0
47,"714 11th AveNew York, NY 10019",40.766184,-73.99408299999999,American Retro,8.0
48,"138 Orchard StNew York, NY 10002",40.719878,-73.98899999999999,Contra,8.0
49,"235 W 12th StNew York, NY 10014",40.73774,-74.0021,Wallflower,9.0
50,"154 Carlton AveBrooklyn, NY 11205",40.692965,-73.9729,Lulu & Po,9.0
51,"154 Central Park SouthNew York, NY 10019",40.766401,-73.977964,SOUTHGATE Bar & Restaurant,7.0
52,"8 Extra PlNew York, NY 10003",40.725033,-73.9913,Momofuku Ko,9.0
53,"463 W 24th StNew York, NY 10001",40.748355,-74.0033,Rocket Pig,9.0
54,"251 E 82nd StNew York, NY 10028",40.775608,-73.9539,King's Carriage House,8.0
55,"615 1/2 Hudson StNew York, NY 10014",40.737897,-74.0059,Bespoke Kitchen,8.0
56,"283 W 12th StNew York, NY 10014",40.737713,-74.0039,Blenheim,7.0
57,"261 Moore StBrooklyn, NY 11206",40.70507,-73.9335,Blanca,8.0
58,"153 W 57th StNew York, NY 10019",40.765386,-73.9789,The Back Room,8.0
59,"33 W 37th StNew York, NY 10018",40.751243,-73.984866,The Strand Bistro,7.0
60,"5 E 54th StNew York, NY 10022",40.760778,-73.9747,Charlie Palmer Steak,8.0
61,"647 E 11th StNew York, NY 10009",40.726707,-73.9772,Virginia's,9.0
62,"725 5th AveNew York, NY 10022",40.762428,-73.9737,Trump Tower,6.0
63,"2 Exchange PlJersey City, NJ 07302",40.716931,-74.03087099999999,Vu,7.0
64,"700 5th AveNew York, NY 10019",40.76166,-73.9752,Clement,8.0
65,"142 Orchard StNew York, NY 10002",40.719964000000004,-73.98899999999999,Wildair,8.0
66,"1071 5th AveNew York, NY 10128",40.783001,-73.9588,The Wright,7.0
67,"275 Van Brunt StNew York, NY 11231",40.679115,-74.0104,Grindhaus,8.0
68,"356 W 58th StNew York, NY 10019",40.768168,-73.984898,Hudson Cafeteria,7.0
69,"381 Van Duzer StStaten Island, NY 10304",40.628734,-74.0797,Vida,8.0
70,"21 W 9th StNew York, NY 10011",40.733403,-73.9969,Oma's La Ranita,6.0
71,"351 Grove StJersey City, NJ 07302",40.720857,-74.043,Mathews Food & Drink,9.0
72,"187 Sackett StBrooklyn, NY 11231",40.684546000000005,-74.0001,Take Root,9.0
73,"66 E 55th StNew York, NY 10022",40.760331,-73.9726,The Core Club,9.0
74,"213 W 40th StNew York, NY 10018",40.755207,-73.98864499999999,Hale and Hearty,7.0
75,"414 Court StNew York, NY 11231",40.679941,-73.997,First Place Provisions,6.0
76,"50 Central Park SouthNew York, NY 10019",40.765386,-73.976074,Auden Bistro & Bar,8.0
77,"1167 2nd AveNew York, NY 10065",40.762265,-73.9635,Fresh,8.0
78,"37 E 64th StNew York, NY 10065",40.766636,-73.968384,Arabelle,6.0
79,"10 Lincoln Center PlzNew York, NY 10023",40.772560999999996,-73.983238,Lincoln Center Kitchen,5.0
80,"42 W 48th StNew York, NY 10036",40.7579,-73.9801,Forty2west,6.0
81,"1000 5th AveManhattan, NY 10028",40.779165,-73.9629,Trustee's Dining Room,8.0
82,"5310 Park AveWest New York, NJ 07093",40.781886,-74.012509,The Spot Mix Grill,10.0
83,"303 Park Ave SNew York, NY 10010",40.740321,-73.985883,Reviver,7.0
84,"53-61 Gansevoort StNew York, NY 10014",40.739399,-74.007251,Malt n Mash,6.0
85,"Manhattan Cruise PortNew York, NY 11371",40.767472999999995,-74.0008,Norwegian Jewel,6.0
86,"123 Nassau StNew York, NY 10038",40.711144,-74.0066,Fowler & Wells,8.0
