address,category,latitude,longitude,number_of_price,number_of_review,restaurant_name,score_of_review
"66 S 2nd StBrooklyn, NY 11249","Japanese,SushiBars",40.714257,-73.9654,3,345,1 or 8,4
"56 MacDougal StNew York, NY 10012","MiddleEastern,American(Traditional)",40.727512,-74.0023,2,278,12 Chairs,4
"84 Manhattan AveNew York, NY 11206","Coffee&Tea,AsianFusion,Breakfast&Brunch",40.705201,-73.9443,1,60,19 Cafe,4.5
"21 Greenpoint AveBrooklyn, NY 11222","American(New),Seafood,Pizza",40.729803,-73.9599,-999,10,21 Greenpoint,4
"21 Division StNew York, NY 10002",Shanghainese,40.714013,-73.9964,2,257,21 Shanghai House,4
"316 E 53rd StNew York, NY 10022","Steakhouses,WineBars,Seafood",40.756406,-73.9665,3,322,212 Steakhouse,4
"525 Hudson StNew York, NY 10014","Filipino,AsianFusion,Mexican",40.734068,-74.0066,2,214,2nd City,4.5
"525 Hudson StNew York, NY 10014","Filipino,AsianFusion,Mexican",40.734068,-74.0066,2,215,2nd City,4.5
"3561 Vernon BlvdLong Island City, NY 11106",Greek,40.76201,-73.942152,1,59,3 Greeks Grill,4.5
"622 10th AveNew York, NY 10036","American(New),Breakfast&Brunch,Bars",40.761019,-73.9942,3,646,44 & X Hell_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Kitchen,3.5
"155 W 47th StNew York, NY 10036","Delis,Sandwiches",40.759021,-73.9835,4,7,47 Gourmet,3
"135-25 40th RdFlushing, NY 11354",Taiwanese,40.758854, -73.83081},2,2,66 Prince,5
"285 Grand StNew York, NY 10002","HotPot,Barbeque",40.717745,-73.9925,2,902,99 Favor Taste,4
"148 W 28th StNew York, NY 10001",Cafes,40.746769,-73.9923,1,72,A Little Taste,4.5
"148 W 28th StNew York, NY 10001",Cafes,40.746769,-73.992303,1,72,A Little Taste,4.5
"391 2nd AveNew York, NY 10010","Chinese,WineBars",40.737717,-73.981394,2,9,A Taste of China,4.5
"691 10th AveNew York, NY 10036","LatinAmerican,Bars",40.763101,-73.9933,2,275,ÌÄåÎÌâå«ÌÄåÎÌâå´ÌÄåÎÌâå«ÌÄå´Ìâå«aÌÄåÎÌâå«ÌÄåÎÌâå´ÌÄåÎÌâå«ÌÄå´Ìâå±o Ecuadorian Kitchen,4.5
"691 10th AveNew York, NY 10036","LatinAmerican,Bars",40.763101,-73.9933,2,275,ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå_aÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄå´Ìâå±o Ecuadorian Kitchen,4.5
"10 Murray StNew York, NY 10007",Indian,40.713335,-74.0081,2,92,Aahar Indian Cuisine,4.5
"10 Murray StNew York, NY 10007",Indian,40.713335,-74.0081,2,93,Aahar Indian Cuisine,4.5
"35 E 18th StNew York, NY 10003","American(New),French",40.737779,-73.9895,3,2315,ABC Kitchen,4
"213 E 45th StNew York, NY 10017","SushiBars,Tapas/SmallPlates,Izakaya",40.75253,-73.9722,3,602,Aburiya Kinnosuke,4
"1 Hudson StNew York, NY 10013",Italian,40.715794,-74.0094,4,148,Acappella,4
"1116 Manhattan AveBrooklyn, NY 11222","Mexican,Sandwiches",40.736714,-73.955084,1,220,Acapulco,4
"180 W StBrooklyn, NY 11222","Seafood,CocktailBars","40.73317,",-73.9595,3,50,Achilles Heel,3.5
"9 Great Jones StNew York, NY 10012",American(New),40.727232,-73.994,3,318,Acme,3.5
"55 Irving PlNew York, NY 10003",Mediterranean,40.735802,-73.9874,3,91,Adalya,4
"287 Hudson StNew York, NY 10013","Italian,Pizza,Lounges",40.725612,-74.007916,2,138,Adoro Lei,4.5
"54 Stone StNew York, NY 10004","Pizza,Italian",40.704336,-74.0101,2,1093,Adrienne_ÌÄåÎÌÄå_ÌÄå´Ìâå£_s Pizzabar,4
"54 Stone StNew York, NY 10004","Pizza,Italian",40.704336,-74.0101,2,1093,AdrienneÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Pizzabar,4
"54 Stone StNew York, NY 10004","Pizza,Italian",40.704336,-74.0101,2,1093,AdrienneÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Pizzabar,4
"89 E 42nd StNew York, NY 10017","Scandinavian,Bars",40.752528,-73.978,4,62,Agern,4
"400 5th AveNew York, NY 10018","Italian,French,Seafood",40.750209,-73.9838,4,853,Ai Fiori,4
"132 Greene AveBrooklyn, NY 11238",Italian,40.686438,-73.9665,2,182,Aita,4
"14 Christopher StNew York, NY 10014",Japanese,40.733803,-74.0004,4,13,Akashi,5
"248 5th AveBrooklyn, NY 11215",Italian,40.675332,-73.9813,3,657,Al Di La Trattoria,4
"9831 Metropolitan AveForest Hills, NY 11375",Italian,40.711093,-73.8534,3,115,Alberto Restaurant,4
"246 E 44th StNew York, NY 10017","Spanish,Basque",40.751114,-73.9718,3,91,Alcala Restaurant,3.5
"31 W 17th StNew York, NY 10011","Portuguese,Spanish,Iberian",40.738754,-73.9938,3,491,Aldea,4
"151 W 51st StNew York, NY 10019","WineBars,French,American(New)",40.761346,-73.9811,3,116,Aldo Sohm Wine Bar,4
"280 Knickerbocker AveBrooklyn, NY 11237",Lebanese,40.701878,-73.9242,2,101,Ali_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Restaurant,4.5
"280 Knickerbocker AveBrooklyn, NY 11237",Lebanese,40.701878,-73.924263,2,101,AliÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâåÌÄåÎÌâå«ÌÄå´ÌÄåös Restaurant,4.5
"24 E 21st StNew York, NY 10010","Mediterranean,Armenian,MiddleEastern",40.739464,-73.9887,3,284,Almayass,4.5
"64 W 10th StNew York, NY 10011","TapasBars,Mediterranean,Spanish",40.734516,-73.9983,3,1557,Alta,4
"26 E 64th StNew York, NY 10065","Italian,WineBars",40.766662,-73.9695,3,26,Altesi Ristorante,3.5
"22 W 8th StNew York, NY 10011","French,WineBars",40.732628,-73.9976,2,1461,AmÌÄåÎÌâå«ÌÄåÎÌâå´ÌÄåÎÌâå«ÌÄå´Ìâå©lie,4.5
"22 W 8th StNew York, NY 10011","French,WineBars",40.732628,-73.9976,2,1461,AmÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄå´Ìâå©lie,4.5
"250 Vesey StreetNew York, NY 10281","Diners,Tapas/SmallPlates,CocktailBars",40.71418,-74.0155,3,109,Amada,3.5
"115 E 60th StNew York, NY 10022",Mediterranean,40.763437,-73.9685,3,264,Amali,4
"21 E 62nd StNew York, NY 10021",Mediterranean,40.765821,-73.9702,3,63,Amaranth Restaurant,3
"2100 Emmons AveBrooklyn, NY 11235","Turkish,Seafood,Mediterranean",40.583469,-73.9485,4,8,Amberjack V,3.5
"363 Greenwich StNew York, NY 10013","Steakhouses,American(New)",40.719087,-74.0099,4,342,American Cut,4
"109 E 56th StNew York, NY 10022",Steakhouses,40.760786,-73.9703,4,60,American Cut Midtown,3.5
"246 E 51st St.New York, NY 10022",Indian,40.755485,-73.9687,3,395,Amma,4
"294 3rd AveNew York, NY 10010","CocktailBars,American(New)",40.738617,-73.9834,2,71,Ampersand,4.5
"4-40 44th DrLong Island City, NY 11101","Bars,Brazilian,American(Traditional)",40.749094,-73.9553,2,93,Anable Basin Sailing Bar & Grill,4
"58 W 8th StNew York, NY 10011","Salad,Cafes,Desserts",40.733245,-73.9991,-999,2,Ancolie,5
"141 W 69 StNew York, NY 10023","Spanish,Tapas/SmallPlates,MusicVenues",40.776221,-73.9815,3,237,Andanada,3
"247 Central AveJersey City, NJ 07307",Delis,40.743517,-74.051327,1,169,Andrea Salumeria,5
"222 Franklin StBrooklyn, NY 11222",American(New),40.733274,-73.9579,2,313,Anella,4
"408 E 64th StNew York, NY 10065","Cambodian,Salad,Seafood",40.762307,-73.9592,2,101,Angkor Cambodian Bistro,4.5
"135 E 55th StNew York, NY 10022","Steakhouses,Seafood,Salad",40.759629,-73.9697,4,115,Angus Club Steakhouse,4
"13 Barrow StNew York, NY 10014",American(New),40.732661,-74.0024,4,510,Annisa,4.5
"112 Suffolk StNew York, NY 10002",French,40.718788,-73.985923,2,394,Antibes Bistro,3.5
